open,close,high,low
101.47500000000001,100.6575,101.98499999999999,99.07499999999999
100.83,108.405,110.6175,100.5
108.0,104.25,110.1975,100.53750000000001
104.25,87.74249999999999,104.91749999999999,80.78999999999999
87.285,78.9075,94.19999999999999,69.21000000000001
79.6875,73.3125,81.0975,59.324999999999996
73.57499999999999,84.375,86.25,69.375
84.67500000000001,86.9325,89.1,80.355
86.985,84.225,93.495,79.98
84.1875,83.625,85.08,73.275
82.19999999999999,85.1775,86.83500000000001,82.19999999999999
84.9,84.5025,85.095,81.94500000000001
84.6,87.9,91.5,83.6625
88.275,86.42999999999999,89.01,84.75750000000001
86.73,86.25,88.0875,85.08
86.115,88.485,89.025,85.875
88.485,83.625,89.85,82.6875
83.55000000000001,85.66499999999999,86.8575,77.625
85.66499999999999,89.07000000000001,89.07000000000001,84.15
88.6575,92.265,93.975,87.4275
92.625,92.625,93.9375,91.725
92.4075,91.49249999999999,93.375,89.6775
91.875,91.5,92.715,90.09
91.515,92.16,92.25,90.9075
92.1675,92.9175,93.0,91.5
92.85,95.025,95.1975,92.32499999999999
94.725,99.89999999999999,100.38749999999999,94.28999999999999
99.82499999999999,98.98499999999999,99.91499999999999,96.67500000000001
98.9925,100.10999999999999,102.0,97.965
100.125,97.3125,101.60249999999999,93.525
97.32750000000001,96.75,97.935,94.19999999999999
96.75,99.22500000000001,99.4425,95.745
99.1875,96.60000000000001,99.1875,95.25
96.60000000000001,96.75,97.42500000000001,94.80000000000001
96.6075,96.97500000000001,97.33500000000001,95.4
96.97500000000001,91.7175,97.05000000000001,86.2875
91.875,91.66499999999999,91.875,87.0
90.55499999999999,91.065,92.88,89.32499999999999
91.05000000000001,91.23750000000001,92.60249999999999,89.92500000000001
91.42500000000001,88.5,92.32499999999999,87.9375
89.22749999999999,83.625,89.25,79.815
83.25,81.225,83.565,80.475
80.9175,75.0,81.74249999999999,66.375
75.33,79.76249999999999,82.57499999999999,71.25
79.76249999999999,81.67500000000001,82.19999999999999,78.0
81.75,81.11250000000001,83.8425,80.0475
81.58500000000001,78.0,82.725,75.39750000000001
77.9625,74.985,78.525,73.5
75.0,74.99249999999999,77.775,73.5
74.85,74.63250000000001,76.19999999999999,74.2125
74.92500000000001,76.275,76.6575,74.25
76.4625,80.55000000000001,83.3325,75.77250000000001
80.2875,81.1875,82.66499999999999,79.3125
81.1875,82.61250000000001,85.725,80.625
83.4675,82.125,86.24249999999999,80.7675
82.125,81.225,82.47,80.63250000000001
81.15,80.69999999999999,81.6,79.6725
80.92500000000001,77.05499999999999,81.2475,75.735
76.5675,77.9625,79.85249999999999,75.75750000000001
77.4975,78.0,79.11749999999999,77.0925
78.0,76.08,78.0,75.82499999999999
76.30499999999999,70.98750000000001,76.30499999999999,69.2475
70.995,71.24249999999999,74.99249999999999,69.75
71.25,72.4575,73.59,70.66499999999999
73.13250000000001,66.0375,73.245,64.725
66.0375,67.5975,69.225,65.63250000000001
67.8075,58.1475,68.235,57.735
59.167500000000004,60.3975,62.332499999999996,54.0
59.99249999999999,51.322500000000005,60.0,49.1475
51.375,52.71,56.25,50.114999999999995
51.5625,55.92,55.92,49.965
57.375,57.39,60.0,54.449999999999996
57.0,57.5175,58.724999999999994,54.39
57.54,65.07000000000001,65.25,57.150000000000006
66.0,66.735,67.71000000000001,63.81
66.735,70.1925,78.0,66.1275
70.49249999999999,73.5975,73.6875,66.045
74.025,71.0175,74.025,69.645
70.2075,73.80000000000001,76.42500000000001,69.8325
74.1675,73.0875,74.895,72.105
72.5325,73.875,74.97749999999999,72.135
73.875,67.935,74.1,64.65
67.5525,69.1275,71.4,65.85
69.0,67.0425,69.82499999999999,66.9525
67.365,68.07000000000001,68.9625,66.0
69.0,68.7075,69.0,67.56
68.69999999999999,71.67,72.615,68.69999999999999
71.67,70.88250000000001,71.99249999999999,69.75
70.875,72.67500000000001,72.9975,70.4025
72.7125,72.015,73.10249999999999,72.0
72.015,70.59,72.75,69.75
70.80000000000001,74.82000000000001,75.435,70.5
73.94999999999999,75.9,76.875,73.8375
76.11749999999999,80.99249999999999,80.99249999999999,75.35249999999999
80.9625,79.5675,83.505,77.91
79.6575,78.0,81.0,77.25750000000001
78.645,78.375,81.0,75.9075
78.375,78.0,79.33500000000001,76.5
78.7125,78.855,79.4625,77.64
78.84,79.66499999999999,80.8275,78.75
80.03999999999999,80.0625,80.535,79.17
80.0625,80.0625,80.0625,80.0625
80.0625,77.25,80.0625,75.94500000000001
77.3025,77.1,79.3125,76.455
77.1,77.25,77.92500000000001,76.8075
77.25,78.75,78.8925,77.0625
78.75,79.98,81.0,77.625
80.24249999999999,81.75,82.01249999999999,78.48750000000001
82.17,84.42,86.25,81.0
84.42,82.49249999999999,84.9375,81.75
82.5,81.74249999999999,84.225,81.39
81.74249999999999,85.125,85.3125,81.16499999999999
84.5625,85.125,86.0175,84.0
85.035,89.25,92.295,83.8275
89.25,90.9,92.25750000000001,88.13250000000001
90.9075,92.475,93.6825,89.76
92.475,90.86250000000001,92.625,90.44999999999999
91.5,88.875,91.5,88.83
88.88250000000001,90.0375,91.0425,88.515
89.69999999999999,91.5825,92.24249999999999,89.3775
91.5825,90.045,92.0625,89.9475
90.0525,94.875,95.42999999999999,90.0525
94.86,91.965,95.49,91.965
91.965,91.7925,92.775,91.6575
91.76249999999999,100.1175,101.8125,90.74249999999999
99.8175,101.51249999999999,105.66749999999999,99.53999999999999
101.35499999999999,103.755,109.3575,101.1075
103.9725,101.88749999999999,109.875,101.16749999999999
101.70750000000001,102.57750000000001,103.755,99.75
